,id,collection,dc.contributor.advisor,dc.contributor.author[],dc.title[de],dc.title[en],tuhh.contributor.referee,PPN,Verfasser,sonstPers,Titel,RefID_plus_KoRef,Ref,RefKopie,RefID_plus_KoRefKopie
3550.0,5562,20.500.12738/6,"Zukunft, Olaf","Thom, Benjamin::rp07325::600",Konzeption und Realisierung eines interaktiven Studienbegleiters für Android,," Buth, Bettina ",682505870,"Thom, Benjamin","Zukunft, Olaf [Ref.]; Buth, Bettina [Ko-Ref.]",Konzeption und Realisierung eines interaktiven Studienbegleiters für Android," Buth, Bettina [Ko-Ref.]","Zukunft, Olaf [Ref.]","Zukunft, Olaf"," Buth, Bettina "
3802.0,5384,20.500.12738/6,"Hamm, Michael","Delfs, Daniela::rp07155::600",Vegane Ernährung - eine bedarfsdeckende Kostform?,," Behr-Völtzer, Christine ",663614376,"Delfs, Daniela","Hamm, Michael [Ref.]; Behr-Völtzer, Christine [Ko-Ref.]",Vegane Ernährung - eine bedarfsdeckende Kostform?," Behr-Völtzer, Christine [Ko-Ref.]","Hamm, Michael [Ref.]","Hamm, Michael"," Behr-Völtzer, Christine "
3687.0,5385,20.500.12738/6,"Ulber, Daniela","Uriep, Marion::rp07156::600",PatchworkfamilienWelche Faktoren brauchen Kinder um das Zusammenleben in Patchworkfamilien als positive zu erleben?,," Bergs-Winkels, Dagmar ",663672902,"Uriep, Marion","Ulber, Daniela [Ref.]; Bergs-Winkels, Dagmar [Ko-Ref.]",Patchworkfamilien," Bergs-Winkels, Dagmar [Ko-Ref.]","Ulber, Daniela [Ref.]","Ulber, Daniela"," Bergs-Winkels, Dagmar "
3954.0,5148,20.500.12738/6,"Krüger, Gerd","Beyer, Annette::rp02590::500",Kritische Analyse des Inklusionsbegriffs und seiner Verwendung im Rahmen der Eingliederungshilfe behinderter Menschen am Beispiel der alsterdorf assistenz west gGmbH,," Schmoecker, Mary ",633120189,"Beyer, Annette","Krüger, Gerd [Ref.]; Schmoecker, Mary [Ko-Ref.]",Kritische Analyse des Inklusionsbegriffs und seiner Verwendung im Rahmen der Eingliederungshilfe behinderter Menschen am Beispiel der alsterdorf assistenz west gGmbH," Schmoecker, Mary [Ko-Ref.]","Krüger, Gerd [Ref.]","Krüger, Gerd"," Schmoecker, Mary "
3953.0,5149,20.500.12738/6,"Hotop, Hans-Jürgen","Valluri, Subhakara::rp06930::600",,Development and Integration of a Document Management System in a Modular Web Plaform with Efficient Storage Mechanism," Dierks, Henning ",633139904,"Valluri, Subhakara","Hotop, Hans-Jürgen [Ref.]; Dierks, Henning [Ko-Ref.]",Development and Integration of a Document Management System in a Modular Web Platform with Efficient Storage Mechanism," Dierks, Henning [Ko-Ref.]","Hotop, Hans-Jürgen [Ref.]","Hotop, Hans-Jürgen"," Dierks, Henning "
3959.0,5144,20.500.12738/6,"Vaupel, Gustav","Sparr, Thomas::rp06926::600",Programmierung eines digitalen Pulssteuersatzes fürThyristorbrücken mit Ausregelung vonSpannungsunsymmetrien,," Holzhüter, Thomas ",633115053,"Sparr, Thomas","Vaupel, Gustav [Ref.]; Holzhüter, Thomas [Ko-Ref.]",Programmierung eines digitalen Pulssteuersatzes für Thyristorbrücken mit Ausregelung von Spannungsunsymetrien," Holzhüter, Thomas [Ko-Ref.]","Vaupel, Gustav [Ref.]","Vaupel, Gustav"," Holzhüter, Thomas "
3675.0,5408,20.500.12738/6,"Meyer-Eschenbach, Andreas","Davids, Yilmaz::rp07179::600",Methodische Weiterentwicklung einesmodularen Systems fürZahnradgetriebeprototypen,," Eiben, Niels ",66468016X,"Davids, Yilmaz","Meyer-Eschenbach, Andreas [Ref.]; Eiben, Niels [Ko-Ref.]",Methodische Weiterentwicklung eines modularen Systems für Zahnradgetriebeprototypen," Eiben, Niels [Ko-Ref.]","Meyer-Eschenbach, Andreas [Ref.]","Meyer-Eschenbach, Andreas"," Eiben, Niels "
3950.0,5152,20.500.12738/6,"Zukunft, Olaf","Becker, Sergej::rp06932::600",Ressourcenoptimierung von Webapplikationen am Beispiel einer Rich Internet Applikation,," Neitzke, Michael ",633145173,"Becker, Sergej","Zukunft, Olaf [Ref.]; Neitzke, Michael [Ko-Ref.]",Ressourcenoptimierung von Webapplikationen am Beispiel einer Rich Internet Applikation," Neitzke, Michael [Ko-Ref.]","Zukunft, Olaf [Ref.]","Zukunft, Olaf"," Neitzke, Michael "
3962.0,5141,20.500.12738/6,"Luck, Kai von","Rödiger, Marcus::rp06924::600",Interaktive Steuerung von Computersystemen mittels Erkennung von Körpergesten,," Meisel, Andreas ",632797851,"Rödiger, Marcus","Luck, Kai von [Ref.]; Meisel, Andreas [Ko-Ref.]",Interaktive Steuerung von Computersystemen mittels Erkennung von Körpergesten," Meisel, Andreas [Ko-Ref.]","Luck, Kai von [Ref.]","Luck, Kai von"," Meisel, Andreas "
2501.0,6641,20.500.12738/6,"Lorenz, Jürgen","Wilke, Larissa Isabel::rp08320::600",Einfluss von Pro- und Prebiotika in der frühen Säuglingsernährung nach Sectio auf die Entwicklung von allergischem Asthma bronchiale,," Behr-Völtzer, Christine ",790566869,"Wilke, Larissa Isabel","Lorenz, Jürgen [Ref.]; Behr-Völtzer, Christine [Ko-Ref.]",Einfluss von Pro- und Prebiotika in der frühen Säuglingsernährung nach Sectio auf die Entwicklung von allergischem Asthma bronchiale," Behr-Völtzer, Christine [Ko-Ref.]","Lorenz, Jürgen [Ref.]","Lorenz, Jürgen"," Behr-Völtzer, Christine "
1493.0,7707,20.500.12738/6,"Föhlisch, Wolfgang Paul Friedrich","Behrens, Hendrik::rp09296::600",Integration einer RFID-basierten Vorflugkontrolle für Notfallausrüstung in ein Kabinenmanagementsystem,," God, Ralf ",87332272X,"Behrens, Hendrik","Föhlisch, Wolfgang Paul Friedrich *1938-* ; ID: gnd/1020282436; God, Ralf ; ID: gnd/1137244011",Integration einer RFID-basierten Vorflugkontrolle für Notfallausrüstung in ein Kabinenmanagementsystem," ID: gnd/1020282436; God, Ralf ; ID: gnd/1137244011","Föhlisch, Wolfgang Paul Friedrich *1938-* ","Föhlisch, Wolfgang Paul Friedrich"," God, Ralf "
4655.0,5807,20.500.12738/6,"Spree, Ulrike","Hamann, Kathrin::rp07555::600",Analyse der Diversität im Lernverhalten von Studierenden in Hinblick auf die didaktische Konzeption von E-Learning-Anwendungen am Beispiel von a-step,," Schulz, Ursula ",524824967,"Hamann, Kathrin","Spree, Ulrike [Ref.]; Schulz, Ursula [Ko-Ref.]",Analyse der Diversität im Lernverhalten von Studierenden in Hinblick auf die didaktische Konzeption von E-Learning-Anwendungen am Beispiel von a-step," Schulz, Ursula [Ko-Ref.]","Spree, Ulrike [Ref.]","Spree, Ulrike"," Schulz, Ursula "
518.0,8878,20.500.12738/6,"Riehn, Katharina","Pfaff, Vanessa::rp10348::600",Evaluierung des Einsatzes von Omega-3-Fettsäuren in der Schweinemast unter besonderer Berücksichtigung sensorischer Merkmale des Musculus Longissimus dorsi,," Walter, Lisa ",1663216622,"Pfaff, Vanessa","Riehn, Katharina [AkademischeR BetreuerIn]; Walter, Lisa [AkademischeR BetreuerIn]",Evaluierung des Einsatzes von Omega-3-Fettsäuren in der Schweinemast unter besonderer Berücksichtigung sensorischer Merkmale des Musculus Longissimus dorsi," Walter, Lisa [AkademischeR BetreuerIn]","Riehn, Katharina [AkademischeR BetreuerIn]","Riehn, Katharina"," Walter, Lisa "
3940.0,5163,20.500.12738/6,"Schütte, Hans-Dieter","Wang, Jiyuan::rp06942::600",Entwicklung eines integrierbaren schnellen ADUmsetzersals Teil einer flexiblen Systemplattformzur Auswertung von mikromechanischenSensorsignalen,," Sauvagerd, Ulrich ",634557475,"Wang, Jiyuan","Schütte, Hans-Dieter [Ref.]; Sauvagerd, Ulrich [Ko-Ref.]",Entwicklung eines integrierbaren schnellen AD-Umsetzers als Teil einer flexiblen Systemplattform zur Auswertung von mikromechanischen Sensorsignalen," Sauvagerd, Ulrich [Ko-Ref.]","Schütte, Hans-Dieter [Ref.]","Schütte, Hans-Dieter"," Sauvagerd, Ulrich "
3686.0,5386,20.500.12738/6,"Biebrach-Plett, Ulla","Schebitz, Annegret::rp07157::600",Jugendkulturarbeit und Schule – Eine fruchtbare Kooperation?  Eine Auseinandersetzung am Beispiel der Hamburger Ganztagsschule,," Schmidt-Grunert, Marianne ",663861152,"Schebitz, Annegret","Biebrach-Plett, Ulla [Ref.]; Schmidt-Grunert, Marianne [Ko-Ref.]",Jugendkulturarbeit und Schule - eine fruchtbare Kooperation?," Schmidt-Grunert, Marianne [Ko-Ref.]","Biebrach-Plett, Ulla [Ref.]","Biebrach-Plett, Ulla"," Schmidt-Grunert, Marianne "
3796.0,5392,20.500.12738/6,"Wieckhorst, Katrin","Wieckhorst, Katrin::rp07163::600","""Index Bibliothecae Scholae S. Ioannis Anno Christi 1610"" : auf der Spurensuche nach der ursprünglichen Büchersammlung der Schulbibliothek des Hamburger Johanneums",,,663880890,,"Wieckhorst, Katrin [Mitarb.]",'Index Bibliothecae Scholae S. Ioannis Anno Christi 1610',,"Wieckhorst, Katrin [Mitarb.]","Wieckhorst, Katrin",
3942.0,5161,20.500.12738/6,"Röther, Michael","Heidenreich Vasquez, Rüdiger Nicholas::rp06940::600",Entwicklung und Aufbau eines Solarwechselrichters mit MPP- Tracking,," Vaupel, Gustav ",633181994,"Heidenreich Vasquez, Rüdiger Nicholas","Röther, Michael [Ref.]; Vaupel, Gustav [Ko-Ref.]",Entwicklung und Aufbau eines Solarwechselrichters mit MPP-Tracking," Vaupel, Gustav [Ko-Ref.]","Röther, Michael [Ref.]","Röther, Michael"," Vaupel, Gustav "
3961.0,5142,20.500.12738/6,"Fohl, Wolfgang","Turkalj, Ivan::rp03404::500",Entwicklung einer Softwareumgebung zur Optimierung eines SVM-Klassifikationsverfahrens von Audiosignalen,," Meisel, Andreas ",632799943,"Turkalj, Ivan","Fohl, Wolfgang [Ref.]; Meisel, Andreas [Ko-Ref.]",Entwicklung einer Softwareumgebung zur Optimierung eines SVMKlassifikationsverfahrens von Audiosignalen," Meisel, Andreas [Ko-Ref.]","Fohl, Wolfgang [Ref.]","Fohl, Wolfgang"," Meisel, Andreas "
2446.0,6703,20.500.12738/6,"Ottens, Silya","Böker, Valerie::rp08377::600",Entwicklung eines Praxisleitfadens für die Prävention und ernährungstherapeutische Behandlung der Divertikelkrankheit,," Biller-Nagel, Gudrun ",797028447,"Böker, Valerie","Ottens, Silya [Ref.]; Biller-Nagel, Gudrun [Ko-Ref.]",Entwicklung eines Praxisleitfadens für die Prävention und ernährungstherapeutische Behandlung der Divertikelkrankheit," Biller-Nagel, Gudrun [Ko-Ref.]","Ottens, Silya [Ref.]","Ottens, Silya"," Biller-Nagel, Gudrun "
4687.0,5156,20.500.12738/6,"Meyer, Katharina","Dau, Nils::rp06935::600","Möglichkeiten und Grenzen des Sports als Instrument einer verbesserten Kooperation zwischen Jugendhilfe, Schule und Sportverein",," Koller-Tejeiro, Yolanda ",518931625,"Dau, Nils","Meyer, Katharina [Ref.]; Koller-Tejeiro, Yolanda [Ko-Ref.]","Möglichkeiten und Grenzen des Sports als Instrument einer verbesserten Kooperation zwischen Jugendhilfe, Schule und Sportverein"," Koller-Tejeiro, Yolanda [Ko-Ref.]","Meyer, Katharina [Ref.]","Meyer, Katharina"," Koller-Tejeiro, Yolanda "
3955.0,5147,20.500.12738/6,"Vollmer, Jürgen","Koch, Lennart::rp06929::600",Aufwandsminimierte Schätzung von Harmonischen zur Zustandsbestimmungvon ABS-Sensoren,," Riemschneider, Karl-Ragmar ",63311989X,"Koch, Lennart","Vollmer, Jürgen [Ref.]; Riemschneider, Karl-Ragmar [Ko-Ref.]",Aufwandsminimierte Schätzung der Harmonischen zur Zustandsbestimmung von ABS-Sensoren," Riemschneider, Karl-Ragmar [Ko-Ref.]","Vollmer, Jürgen [Ref.]","Vollmer, Jürgen"," Riemschneider, Karl-Ragmar "
3958.0,5145,20.500.12738/6,"Dahlkemper, Jörg","Schuch, Christian::rp06927::600",Automatisierte Solarzellenprüfung unter Einsatz einer Thermographiekamera,," Reetmeyer, Henry ",633116408,"Schuch, Christian","Dahlkemper, Jörg [Ref.]; Reetmeyer, Henry [Ko-Ref.]",Automatisierte Solarzellenprüfung unter Einsatz einer Thermographiekamera," Reetmeyer, Henry [Ko-Ref.]","Dahlkemper, Jörg [Ref.]","Dahlkemper, Jörg"," Reetmeyer, Henry "
3948.0,5154,20.500.12738/6,"Meiners, Ulfert","Guzy, Lukas::rp06934::600",Entwicklung eines Gateways zur Umsetzung vonBusprotokollen zwischen den BussystemenPROFIBUS und SERVOLINK 4,," Hasemann, Henning ",633161926,"Guzy, Lukas","Meiners, Ulfert [Ref.]; Hasemann, Henning [Ko-Ref.]",Entwicklung eines Gateways zur Umsetzung von Busprotokollen zwischen den Bussystemen PROFIBUS und SERVOLINK 4," Hasemann, Henning [Ko-Ref.]","Meiners, Ulfert [Ref.]","Meiners, Ulfert"," Hasemann, Henning "
3952.0,5150,20.500.12738/6,"Klemke, Gunter","Meißner, Stefan::rp06931::600",Realisierung von Sound und Event Awareness durch verteilte Sensorknoten,," Luck, Kai von ",633140724,"Meißner, Stefan","Klemke, Gunter [Ref.]; Luck, Kai von [Ko-Ref.]",Realisierung von Sound und Event Awareness durch verteilte Sensorknoten," Luck, Kai von [Ko-Ref.]","Klemke, Gunter [Ref.]","Klemke, Gunter"," Luck, Kai von "
3801.0,5387,20.500.12738/6,"Krauß-Leichert, Ute","Heigl, Christiane::rp07158::600","Bibliotheken in der phantastischen Literatur, dargestellt an Beispielen aus der Reihe „Hobbit-Presse“ des Klett-Cotta Verlags",," Schade, Frauke ",663872278,"Heigl, Christiane","Krauß-Leichert, Ute [Ref.]; Schade, Frauke [Ko-Ref.]",Bibliotheken in der phantastischen Literatur," Schade, Frauke [Ko-Ref.]","Krauß-Leichert, Ute [Ref.]","Krauß-Leichert, Ute"," Schade, Frauke "
4716.0,5410,20.500.12738/6,"Hamm, Michael","Wischnewski, Christine::rp07181::600",Autoimmunthyreoditis und Selen,," Behr-Völtzer, Christine",52370643X,"Wischnewski, Christine","Hamm, Michael; Behr-Völtzer, Christine",Autoimmunthyreoditis und Selen," Behr-Völtzer, Christine","Hamm, Michael","Hamm, Michael"," Behr-Völtzer, Christine"
3943.0,5160,20.500.12738/6,"Schwarz, Bernd","Mellert, Dennis::rp06939::600",Modellierung einer Video-basierten Fahrspurerkennung mit dem Xilinx System Generator für eine SoC-Plattform,," Meisel, Andreas ",633179574,"Mellert, Dennis","Schwarz, Bernd [Ref.]; Meisel, Andreas [Ko-Ref.]",Modellierung einer Video-basierten Fahrspurerkennung mit dem Xilinx System Generator für eine SoC-Plattform," Meisel, Andreas [Ko-Ref.]","Schwarz, Bernd [Ref.]","Schwarz, Bernd"," Meisel, Andreas "
3797.0,5391,20.500.12738/6,"Verch, Ulrike","Kamprath, Daniel::rp07162::600",Das bibliothekarische Wirken von Christoph Daniel Ebeling in Hamburg unter französischer Besatzung von 1806 bis 1814 : eine historische Quellenanalyse,," Kübler, Hans-Dieter ",663880211,"Kamprath, Daniel","Verch, Ulrike [Ref.]; Kübler, Hans-Dieter [Ko-Ref.]",Das bibliothekarische Wirken von Christoph Daniel Ebeling in Hamburg unter französischer Besatzung von 1806 bis 1814," Kübler, Hans-Dieter [Ko-Ref.]","Verch, Ulrike [Ref.]","Verch, Ulrike"," Kübler, Hans-Dieter "
3799.0,5389,20.500.12738/6,"Kübler, Hans-Dieter","Witt-Maganjo, Marlen::rp07160::600",Internet und Wahlkampf : Veränderungen von Strategien und Verhalten der Bevölkerung im Wahlkampf von Barack Obama,," Ludwig, Johannes ",663878721,"Witt-Maganjo, Marlen","Kübler, Hans-Dieter [Ref.]; Ludwig, Johannes [Ko-Ref.]",Internet und Wahlkampf," Ludwig, Johannes [Ko-Ref.]","Kübler, Hans-Dieter [Ref.]","Kübler, Hans-Dieter"," Ludwig, Johannes "
3941.0,5162,20.500.12738/6,"Fitz, Robert","Kapitza, Sven::rp06941::600",Implementierung einer Kryptanalyse in digitaler Hardware zur quantitativen Verifikationdes Geschwindigkeitsvorteils gegenüber softwareseitigen Lösungen.,," Lehmann, Thomas ",633184853,"Kapitza, Sven","Fitz, Robert [Ref.]; Lehmann, Thomas [Ko-Ref.]",Implementierung einer Kryptanalyse in digitaler Hardware zur quantitativen Verifikation des Geschwindigkeitsvorteils gegenüber softwareseitigen Lösungen," Lehmann, Thomas [Ko-Ref.]","Fitz, Robert [Ref.]","Fitz, Robert"," Lehmann, Thomas "
145.0,9259,20.500.12738/6,"Riehn, Katharina","Gorke, Merle::rp10688::600",Aroma- und Geruchsprofile der Mangosorte „Mahachanok“ in verschiedenen Reifegraden,," Ratprakhon, Khanitta ",1686666160,"Gorke, Merle","Riehn, Katharina [AkademischeR BetreuerIn]; Ratprakhon, Khanitta [AkademischeR BetreuerIn]",Aroma- und Geruchsprofile der Mangosorte 'Mahachanok' in verschiedenen Reifegraden," Ratprakhon, Khanitta [AkademischeR BetreuerIn]","Riehn, Katharina [AkademischeR BetreuerIn]","Riehn, Katharina"," Ratprakhon, Khanitta "
390.0,8687,20.500.12738/6,"Wonneberger, Astrid","Herzberg, Hannes::rp10174::600",Die Bedeutung von Familie für unbegleitete minderjährige Flüchtlinge – Ein Konzept für eine pädagogische Unterstützungsmaßnahme,," Weidtmann, Katja ",166356213X,"Herzberg, Hannes","Wonneberger, Astrid *1969-* ; ID: gnd/1059557657; Weidtmann, Katja [AkademischeR BetreuerIn]",Die Bedeutung von Familie für unbegleitete minderjährige Flüchtlinge," ID: gnd/1059557657; Weidtmann, Katja [AkademischeR BetreuerIn]","Wonneberger, Astrid *1969-* ","Wonneberger, Astrid"," Weidtmann, Katja "
160.0,9242,20.500.12738/6,"Maaß, Jochen","Mensah, Kevin Francis::rp10673::600",Bildverarbeitungsalgorithmen zur Vermessung eines Schweißbads,," Sheikhi, Shahram ",1685472230,"Mensah, Kevin Francis","Maaß, Jochen [AkademischeR BetreuerIn]; Sheikhi, Shahram *1972-* ; ID: gnd/131608045",Bildverarbeitungsalgorithmen zur Vermessung eines Schweißbads," Sheikhi, Shahram *1972-* ; ID: gnd/131608045","Maaß, Jochen [AkademischeR BetreuerIn]","Maaß, Jochen"," Sheikhi, Shahram "
2500.0,6642,20.500.12738/6,"Ottens, Silya","Schoch, Nora::rp08321::600",Pathophysiologische Zusammenhänge der Altersanorexie und Strategien zur diätetischen Therapie,," Behr-Völtzer, Christine ",790567520,"Schoch, Nora","Ottens, Silya [Ref.]; Behr-Völtzer, Christine [Ko-Ref.]",Pathophysiologische Zusammenhänge der Altersanorexie und Strategien zur diätetischen Therapie," Behr-Völtzer, Christine [Ko-Ref.]","Ottens, Silya [Ref.]","Ottens, Silya"," Behr-Völtzer, Christine "
1492.0,7708,20.500.12738/6,"Färber, Christine","Hertig, Julia::rp09297::600",,Exploring the role of the mentor in the practice learning experience of student midwives:A qualitative study," Rankin, Jean ",873675053,"Hertig, Simone Julia","Färber, Christine *1964-* ; ID: gnd/120981092; Rankin, Jean [AkademischeR BetreuerIn]",Exploring the role of the mentor in the practice learning experience of student midwives," ID: gnd/120981092; Rankin, Jean [AkademischeR BetreuerIn]","Färber, Christine *1964-* ","Färber, Christine"," Rankin, Jean "
522.0,8879,20.500.12738/6,"Heise, Susanne","Martens, Sven::rp10349::600",Erarbeitung eines Konzepts für die Fire and Rescue Force Tanzania anlässlich potenzieller Einsatzlagen in Zusammenhang mit Transporten von Uranoxidkonzentrat,," Paulsen, Reinhard ",1663214077,"Martens, Sven","Heise, Susanne *1964-* ; ID: gnd/1163122106; Paulsen, Reinhard [AkademischeR BetreuerIn]",Erarbeitung eines Konzepts für die Fire and Rescue Force Tanzania anlässlich potenzieller Einsatzlagen in Zusammenhang mit Transporten von Uranoxidkonzentrat," ID: gnd/1163122106; Paulsen, Reinhard [AkademischeR BetreuerIn]","Heise, Susanne *1964-* ","Heise, Susanne"," Paulsen, Reinhard "
